CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdParametreEnv;LbLongParametre;RsParEnvOpPrelBio;CdUniteMesure;SymUniteMesure;CdRqParEnvPrelBio;MnemoRqParEnvPrelBio;CdMethodeParEnvPrelBio;NomMethodeParEnvPrelBio;RefOperationPrelBio;CdStatutParEnvPrelBio;MnStatutParEnvPrelBio;CdQualParEnvPrelBio;LbQualParEnvPrelBio;DateParEnvPrelBio;CdProducteur;NomProducteur
3112295;LE MORBRAS A SUCY-EN-BRIE 2;007;27;Macrophytes;2011-08-18;1725;Situation hydrologique;Etiage normal;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180130183005-HB-10971;1;Donnée brute;4;Non qualifié;2011-08-18;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112430;LA MARNE A MAISONS-ALFORT 2;005;4;Poissons;2001-06-22;1301;Température de l'Eau;19.3;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe969eta1_2001-06-22_14:00:00_03112430;1;Donnée brute;1;Correcte;2001-06-22;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2015-08-19;1303;Conductivité à 25°C;444.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe5001eta1_2015-08-19_08:30:00_03063000;1;Donnée brute;0;Qualification non definissable;2015-08-19;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2024-07-08;5473;Visibilité du fond;Fonds non visibles;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20250618165000-HB-600985;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2024-07-08;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2024-09-25;5473;Visibilité du fond;Fonds non visibles;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20250618165003-HB-600989;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2024-09-25;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112348;LA MARNE A BONNEUIL-SUR-MARNE 1;005;4;Poissons;2005-06-15;1301;Température de l'Eau;20.6;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1555eta2_SurfEchMc1250.00_SBVDKmc12600.00_DSrcKm505.00_LarMEauM110.00_PntCEPM0.10_ProfMStaM3.83_AltM31_TAir1C4.6_TAir7C20.4;1;Donnée brute;1;Correcte;2005-06-15;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3080660;LA SEINE A ALFORTVILLE 3;007;27;Macrophytes;2011-08-17;1425;Conditions météorologiques pendant le prélèvement;Faiblement nuageux;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180130182957-HB-10691;1;Donnée brute;4;Non qualifié;2011-08-17;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2005-06-14;1303;Conductivité à 25°C;489.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1547eta2_SurfEchMc1250.00_SBVDKmc33101.00_DSrcKm411.00_LarMEauM140.00_PntCEPM0.10_ProfMStaM1.80_AltM29_TAir1C4.5_TAir7C20.4;1;Donnée brute;0;Qualification non definissable;2005-06-14;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2025-09-29;1303;Conductivité à 25°C;373.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe95589eta2_SurfEchMc1250.0_SBVDKmc33101.0_DSrcKm411.0_LarMEauM130.0_PntCEPM0.1_ProfMStaM3.6_AltM32_TAir1C4.5_TAir7C20.4;1;Donnée brute;0;Qualification non definissable;2025-09-29;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063801;CRETEIL 1;005;4;Poissons;1995-11-15;1303;Conductivité à 25°C;0.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe45994eta1_1995-11-15_11:15:00_03063801;1;Donnée brute;0;Qualification non definissable;1995-11-15;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2019-09-04;1303;Conductivité à 25°C;500.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe81991eta2_SurfEchMc1250.0_SBVDKmc12684.7_DSrcKm493.0_LarMEauM70.0_PntCEPM0.1_ProfMStaM3.5_AltM35_TAir1C4.5_TAir7C20.3;1;Donnée brute;0;Qualification non definissable;2019-09-04;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;1996-09-10;1303;Conductivité à 25°C;350.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe45569eta1_1996-09-10_14:20:00_03063000;1;Donnée brute;0;Qualification non definissable;1996-09-10;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;007;27;Macrophytes;2020-08-03;6498;Turbidite;Faible;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20210909144650-HB-498381;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2020-08-03;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063294;VALENTON 1;005;4;Poissons;1997-08-21;1301;Température de l'Eau;27.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe915eta1_1997-08-21_10:00:00_03063294;1;Donnée brute;1;Correcte;1997-08-21;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2002-04-23;1303;Conductivité à 25°C;588.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe973eta2_SurfEchMc1415.00_SBVDKmc33101.00_DSrcKm411.00_LarMEauM150.00_PntCEPM0.10_ProfMStaM4.50_AltM29_TAir1C4.5_TAir7C20.4;1;Donnée brute;0;Qualification non definissable;2002-04-23;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112000;LA MARNE A JOINVILLE-LE-PONT 1;004;10;Diatomées benthiques;2023-08-03;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20240717100315-HB-578682;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2023-08-03;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2021-08-02;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20220823100212-HB-526415;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2021-08-02;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079622;LE RÉVEILLON A VILLECRESNES 2;004;10;Diatomées benthiques;2024-07-10;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20250619164057-HB-601310;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2024-07-10;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;004;10;Diatomées benthiques;2018-07-17;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20190624122931-HB-360066;1;Donnée brute;4;Non qualifié;2018-07-17;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2015-08-17;1303;Conductivité à 25°C;507.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe5123eta1_2015-08-17_14:30:00_03112480;1;Donnée brute;0;Qualification non definissable;2015-08-17;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079570;LE RÉVEILLON A MAROLLES-EN-BRIE 1;005;4;Poissons;1991-10-10;1303;Conductivité à 25°C;1100.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe846eta1_1991-10-10_09:15:00_03079570;1;Donnée brute;0;Qualification non definissable;1991-10-10;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3080339;LA SEINE A ALFORTVILLE 2;005;4;Poissons;1989-08-01;1303;Conductivité à 25°C;390.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe809eta1_1989-08-01_10:00:00_03080339;1;Donnée brute;0;Qualification non definissable;1989-08-01;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112430;LA MARNE A MAISONS-ALFORT 2;005;4;Poissons;2010-07-01;1301;Température de l'Eau;23.1;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe2121eta2_SurfEchMc1250.0_SBVDKmc12824.4_DSrcKm510.0_LarMEauM70.0_PntCEPM0.1_ProfMStaM3.6_AltM33_TAir1C4.8_TAir7C20.8;1;Donnée brute;1;Correcte;2010-07-01;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2024-10-21;5473;Visibilité du fond;Fonds non visibles;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20250618165004-HB-600991;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2024-10-21;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;007;27;Macrophytes;2016-08-11;5473;Visibilité du fond;Fonds non visibles;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180228170041-HB-20793;1;Donnée brute;4;Non qualifié;2016-08-11;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3080660;LA SEINE A ALFORTVILLE 3;004;10;Diatomées benthiques;2022-08-23;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20230703214628-HB-549785;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2022-08-23;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;007;27;Macrophytes;2022-06-16;1425;Conditions météorologiques pendant le prélèvement;Ensoleillé;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20230703214826-HB-549848;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2022-06-16;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079622;LE RÉVEILLON A VILLECRESNES 2;005;4;Poissons;2001-05-17;1303;Conductivité à 25°C;606.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe963eta1_2001-05-17_14:00:00_03079622;1;Donnée brute;0;Qualification non definissable;2001-05-17;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;1999-04-27;1303;Conductivité à 25°C;468.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe944eta1_1999-04-27_14:00:00_03063000;1;Donnée brute;0;Qualification non definissable;1999-04-27;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;1998-09-15;1301;Température de l'Eau;17.1;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe938eta1_1998-09-15_10:00:00_03112480;1;Donnée brute;1;Correcte;1998-09-15;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;004;10;Diatomées benthiques;2020-08-11;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20210630105504-HB-490854;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2020-08-11;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF)
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;1997-05-28;1303;Conductivité à 25°C;544.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe913eta1_1997-05-28_10:30:00_03112088;1;Donnée brute;0;Qualification non definissable;1997-05-28;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;1995-05-18;1301;Température de l'Eau;14.5;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe876eta1_1995-05-18_11:15:00_03112480;1;Donnée brute;1;Correcte;1995-05-18;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;2010-06-30;1303;Conductivité à 25°C;560.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe2122eta2_SurfEchMc1250.0_SBVDKmc12731.7_DSrcKm500.0_LarMEauM60.0_PntCEPM0.1_ProfMStaM2.83_AltM33_TAir1C4.5_TAir7C20.2;1;Donnée brute;0;Qualification non definissable;2010-06-30;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;10;Diatomées benthiques;2024-06-18;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20250619164042-HB-601288;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2024-06-18;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2020-08-04;1301;Température de l'Eau;23.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe84697eta2_SurfEchMc1250.0_SBVDKmc12684.7_DSrcKm493.0_LarMEauM72.5_PntCEPM0.1_ProfMStaM3.21_AltM35_TAir1C4.5_TAir7C20.3;1;Donnée brute;1;Correcte;2020-08-04;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;007;27;Macrophytes;2018-08-08;1425;Conditions météorologiques pendant le prélèvement;Fortement nuageux;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20190327182054-HB-346689;1;Donnée brute;4;Non qualifié;2018-08-08;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;2002-04-25;1301;Température de l'Eau;14.4;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe976eta2_2002-04-25_10:00:00_03112088;1;Donnée brute;1;Correcte;2002-04-25;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;005;4;Poissons;1998-04-16;1303;Conductivité à 25°C;581.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe928eta1_1998-04-16_15:00:00_03079622;1;Donnée brute;0;Qualification non definissable;1998-04-16;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3080339;LA SEINE A ALFORTVILLE 2;005;4;Poissons;1992-05-21;1303;Conductivité à 25°C;480.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe853eta1_1992-05-21_15:15:00_03080339;1;Donnée brute;0;Qualification non definissable;1992-05-21;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112430;LA MARNE A MAISONS-ALFORT 2;005;4;Poissons;1995-09-14;1303;Conductivité à 25°C;480.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe886eta1_1995-09-14_13:45:00_03112430;1;Donnée brute;0;Qualification non definissable;1995-09-14;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
