CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;DateDebutOperationPrelBio;CdSupport;LbSupport;DtProdResultatBiologique;HeureResultat;CdParametreResultatBiologique;LbLongParametre;ResIndiceResultatBiologique;CdUniteMesure;SymUniteMesure;CdRqIndiceResultatBiologique;MnemoRqAna;CdMethEval;RefOperationPrelBio;CdProducteur;NomProducteur;CdAccredRsIndiceResultatBiologique;MnAccredRsIndiceResultatBiologique
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2019-07-31;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;12;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20201029143652-HB-475848;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2019-07-31;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;29;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20201029143652-HB-475848;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2019-07-31;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;4;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20201029143652-HB-475848;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2020-08-14;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;14;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20210908103329-HB-498337;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2020-08-14;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;32;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20210908103329-HB-498337;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2020-08-14;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;6;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20210908103329-HB-498337;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2021-09-21;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;14;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20220818095859-HB-524902;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2021-09-21;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;30;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20220818095859-HB-524902;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2021-09-21;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;6;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20220818095859-HB-524902;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2021-09-21;13;Macroinvertébrés aquatiques;;;8130;Nombre de taxons contributifs de MGCE 12 prélèvements;41;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20220818095859-HB-524902;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2022-06-16;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;14;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20230704161837-HB-550177;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2022-06-16;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;29;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20230704161837-HB-550177;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2022-06-16;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;6;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20230704161837-HB-550177;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2022-06-16;13;Macroinvertébrés aquatiques;;;8130;Nombre de taxons contributifs de MGCE 12 prélèvements;36;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20230704161837-HB-550177;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2023-08-01;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;13;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20240717112047-HB-578743;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2023-08-01;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;30;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20240717112047-HB-578743;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2023-08-01;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;5;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20240717112047-HB-578743;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2023-08-01;13;Macroinvertébrés aquatiques;;;8130;Nombre de taxons contributifs de MGCE 12 prélèvements;36;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20240717112047-HB-578743;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2023-08-01;13;Macroinvertébrés aquatiques;;;8987;Indice Invertébrés Multimétrique - Cours d'eau profonds (I2M2_CEP);0.363;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20240717112047-HB-578743;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2023-08-01;13;Macroinvertébrés aquatiques;;;8988;Métrique Ovoviviparite de l'I2M2_CEP;0.381;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20240717112047-HB-578743;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2023-08-01;13;Macroinvertébrés aquatiques;;;8989;Métrique β-mesosaprobe de l'I2M2_CEP;0.192;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20240717112047-HB-578743;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2023-08-01;13;Macroinvertébrés aquatiques;;;8990;Métrique aquatique, passive (Dispersion) de l'I2M2_CEP;0.659;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20240717112047-HB-578743;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2023-08-01;13;Macroinvertébrés aquatiques;;;8991;Métrique de richesse relative des taxons (groupe B) pour l'I2M2_CEP;0.463;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20240717112047-HB-578743;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2023-08-01;13;Macroinvertébrés aquatiques;;;8992;Métrique du niveau de spécialisation moyen en matière de ressources trophiques utilisées pour l'I2M2_CEP;0.104;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20240717112047-HB-578743;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2024-06-18;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;15;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20250619155223-HB-601173;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2024-06-18;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;25;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20250619155223-HB-601173;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2024-06-18;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;8;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20250619155223-HB-601173;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2024-06-18;13;Macroinvertébrés aquatiques;;;8130;Nombre de taxons contributifs de MGCE 12 prélèvements;27;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20250619155223-HB-601173;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2024-06-18;13;Macroinvertébrés aquatiques;;;8987;Indice Invertébrés Multimétrique - Cours d'eau profonds (I2M2_CEP);0.329;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20250619155223-HB-601173;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2024-06-18;13;Macroinvertébrés aquatiques;;;8988;Métrique Ovoviviparite de l'I2M2_CEP;0.347;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20250619155223-HB-601173;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2024-06-18;13;Macroinvertébrés aquatiques;;;8989;Métrique β-mesosaprobe de l'I2M2_CEP;0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20250619155223-HB-601173;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2024-06-18;13;Macroinvertébrés aquatiques;;;8990;Métrique aquatique, passive (Dispersion) de l'I2M2_CEP;0.663;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20250619155223-HB-601173;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2024-06-18;13;Macroinvertébrés aquatiques;;;8991;Métrique de richesse relative des taxons (groupe B) pour l'I2M2_CEP;0.602;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20250619155223-HB-601173;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2024-06-18;13;Macroinvertébrés aquatiques;;;8992;Métrique du niveau de spécialisation moyen en matière de ressources trophiques utilisées pour l'I2M2_CEP;0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20250619155223-HB-601173;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;1;Analyse réalisée sous accréditation
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;2010-08-12;10;Diatomées benthiques;;;1080;Indice Biologique Diatomées ancien;7.2;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20180201135915-HB-15108;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;2010-08-12;10;Diatomées benthiques;;;5856;Indice Biologique Diatomées (IBD);11.8;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20180201135915-HB-15108;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;2011-07-19;10;Diatomées benthiques;;;5856;Indice Biologique Diatomées (IBD);14.5;32;‰ vs SMOW;1;Résultat > seuil de quantification et < au seuil de saturation;;20180201135915-HB-15109;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF);0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;2012-06-27;10;Diatomées benthiques;;;5856;Indice Biologique Diatomées (IBD);14.1;32;‰ vs SMOW;1;Résultat > seuil de quantification et < au seuil de saturation;;20180201135915-HB-15110;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF);0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;2013-07-11;10;Diatomées benthiques;;;5856;Indice Biologique Diatomées (IBD);13.8;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20180201135915-HB-15111;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF);0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;2014-08-13;10;Diatomées benthiques;;;5856;Indice Biologique Diatomées (IBD);12.9;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20180201135915-HB-15112;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF);0;Inconnu
